transaction_amount,customer_tenure_months,retry_count,gateway_response_time_ms,is_high_value_transaction,is_repeat_failure,failure_reason_bank_decline,failure_reason_card_expired,failure_reason_insufficient_funds,failure_reason_network_error,payment_method_Bank transfer (automatic),payment_method_Credit card (automatic),payment_method_Electronic check,payment_method_Mailed check,customer_segment_high_value_repeat,customer_segment_new_customer,customer_segment_occasional
358.20000000000005,1,0,272,0,0,False,False,True,False,False,False,True,False,False,True,False
683.4000000000001,34,3,544,0,1,True,False,False,False,False,False,False,True,True,False,False
646.2,2,1,404,0,0,False,False,True,False,False,False,False,True,False,True,False
507.6,45,1,2193,0,0,False,False,False,True,True,False,False,False,True,False,False
848.4000000000001,2,0,382,1,0,False,False,True,False,False,False,True,False,False,True,False
1195.8000000000002,8,0,473,1,0,False,False,True,False,False,False,True,False,False,False,True
1069.1999999999998,22,0,466,1,0,False,True,False,False,False,True,False,False,False,False,True
357.0,10,2,388,0,1,True,False,False,False,False,False,False,True,False,False,True
1257.6,28,1,563,1,0,False,True,False,False,False,False,True,False,True,False,False
673.8,62,1,545,0,0,True,False,False,False,True,False,False,False,True,False,False
599.4000000000001,13,0,462,0,0,False,True,False,False,False,False,False,True,False,False,True
227.4,16,3,408,0,1,False,True,False,False,False,True,False,False,False,False,True
1204.1999999999998,58,2,498,1,1,False,False,True,False,False,True,False,False,True,False,False
1244.4,49,0,447,1,0,True,False,False,False,True,False,False,False,True,False,False
1266.0,25,0,559,1,0,False,False,True,False,False,False,True,False,True,False,False
1359.0,69,0,534,1,0,True,False,False,False,False,True,False,False,True,False,False
247.8,52,0,247,0,0,True,False,False,False,False,False,False,True,True,False,False
1280.4,71,1,237,1,0,True,False,False,False,True,False,False,False,True,False,False
662.4000000000001,10,0,294,0,0,False,True,False,False,False,True,False,False,False,False,True
1080.6,21,0,3280,1,0,False,False,False,True,False,False,True,False,False,False,True
475.8,1,1,1238,0,0,False,False,False,True,False,False,True,False,False,True,False
237.6,12,0,459,0,0,False,False,True,False,True,False,False,False,False,False,True
241.8,1,0,454,0,0,False,True,False,False,False,False,False,True,False,True,False
718.8,58,0,574,0,0,False,False,True,False,False,True,False,False,True,False,False
715.2,49,1,427,0,0,False,True,False,False,False,True,False,False,True,False,False
663.5999999999999,30,2,198,0,1,False,False,True,False,True,False,False,False,True,False,False
1192.1999999999998,47,0,256,1,0,False,False,True,False,False,False,True,False,True,False,False
362.4,1,1,222,0,0,False,False,True,False,False,False,True,False,False,True,False
1083.0,72,1,319,1,0,False,False,True,False,False,True,False,False,True,False,False
776.4000000000001,17,0,372,0,0,False,True,False,False,False,False,False,True,False,False,True
1156.1999999999998,71,1,225,1,0,False,False,True,False,False,True,False,False,True,False,False
1146.0,2,0,620,1,0,False,True,False,False,False,True,False,False,False,True,False
793.8000000000001,27,0,201,0,0,False,False,True,False,False,False,False,True,True,False,False
242.4,1,3,601,0,1,False,True,False,False,True,False,False,False,False,True,False
543.0,1,3,577,0,1,False,True,False,False,True,False,False,False,False,True,False
1198.8000000000002,72,2,534,1,1,False,True,False,False,True,False,False,False,True,False,False
836.4000000000001,5,0,1944,0,0,False,False,False,True,False,False,True,False,False,False,True
897.5999999999999,46,0,451,1,0,False,False,True,False,False,True,False,False,True,False,False
1276.1999999999998,34,1,1478,1,0,False,False,False,True,False,False,True,False,True,False,False
1174.1999999999998,11,0,536,1,0,False,False,True,False,True,False,False,False,False,False,True
594.5999999999999,10,0,388,0,0,False,True,False,False,False,False,False,True,False,False,True
830.4000000000001,70,1,338,0,0,False,True,False,False,False,True,False,False,True,False,False
249.0,17,0,216,0,0,False,False,True,False,False,False,False,True,False,False,True
958.2,63,3,517,1,1,False,False,False,True,False,True,False,False,True,False,False
914.4,13,0,244,1,0,False,True,False,False,False,False,True,False,False,False,True
1014.0,49,1,566,1,0,False,False,True,False,False,False,True,False,True,False,False
591.0,2,0,339,0,0,False,False,True,False,False,False,False,True,False,True,False
967.8,2,1,374,1,0,False,False,True,False,False,False,True,False,False,True,False
957.0,52,1,498,1,0,True,False,False,False,False,True,False,False,True,False,False
769.8000000000001,69,0,3944,0,0,False,False,False,True,False,True,False,False,True,False,False
1083.0,43,3,598,1,1,False,False,True,False,False,False,True,False,True,False,False
1189.1999999999998,15,2,254,1,1,False,False,True,False,False,True,False,False,False,False,True
834.0,25,3,108,0,1,False,True,False,False,False,True,False,False,True,False,False
967.8,8,2,753,1,1,True,False,False,False,False,True,False,False,False,False,True
898.1999999999999,60,1,740,1,0,False,False,True,False,False,True,False,False,True,False,False
1145.4,18,3,428,1,1,False,False,True,False,False,False,True,False,False,False,True
1195.8000000000002,63,0,209,1,0,True,False,False,False,False,True,False,False,True,False,False
1301.4,66,0,544,1,0,False,False,True,False,False,False,True,False,True,False,False
299.4,34,0,383,0,0,False,False,True,False,False,True,False,False,True,False,False
1290.0,72,0,383,1,0,True,False,False,False,False,True,False,False,True,False,False
1206.0,47,0,534,1,0,False,True,False,False,False,False,True,False,True,False,False
1078.8000000000002,60,0,450,1,0,False,False,True,False,True,False,False,False,True,False,False
505.2000000000001,72,2,222,0,1,False,False,True,False,True,False,False,False,True,False,False
652.8,18,0,351,0,0,False,False,True,False,False,True,False,False,False,False,True
1132.8000000000002,9,0,499,1,0,False,False,True,False,False,False,True,False,False,False,True
903.6,3,1,476,1,0,True,False,False,False,False,False,True,False,False,True,False
946.8,47,0,439,1,0,False,False,True,False,False,False,True,False,True,False,False
950.4,31,2,3246,1,1,False,False,False,True,False,False,False,True,True,False,False
