transaction_amount,customer_tenure_months,retry_count,gateway_response_time_ms,is_high_value_transaction,is_repeat_failure,failure_reason_bank_decline,failure_reason_card_expired,failure_reason_insufficient_funds,failure_reason_network_error,payment_method_Bank transfer (automatic),payment_method_Credit card (automatic),payment_method_Electronic check,payment_method_Mailed check,customer_segment_high_value_repeat,customer_segment_new_customer,customer_segment_occasional
64.85,21,1,1773,0,0,False,False,False,True,False,False,False,True,False,False,True
97.2,54,3,4132,1,1,False,False,False,True,True,False,False,False,True,False,False
23.45,1,0,3938,0,0,False,False,False,True,False,False,True,False,False,True,False
70.2,4,1,447,0,0,False,False,True,False,False,False,True,False,False,False,True
61.9,0,0,1532,0,0,False,False,False,True,True,False,False,False,False,True,False
69.55,7,0,103,0,0,True,False,False,False,False,False,True,False,False,False,True
18.95,32,2,403,0,1,False,False,True,False,False,False,False,True,False,False,True
19.8,72,0,347,0,0,False,False,True,False,False,True,False,False,False,False,True
39.65,19,0,341,0,0,False,True,False,False,False,False,True,False,False,False,True
19.95,10,2,186,0,1,True,False,False,False,True,False,False,False,False,False,True
69.1,21,2,142,0,1,False,False,True,False,False,False,True,False,False,False,True
70.05,45,0,253,0,0,False,True,False,False,False,False,True,False,True,False,False
19.8,32,0,203,0,0,False,True,False,False,False,True,False,False,False,False,True
105.75,40,1,279,1,0,False,True,False,False,True,False,False,False,True,False,False
41.9,47,2,583,0,1,False,True,False,False,False,False,False,True,False,False,True
53.1,36,0,826,0,0,True,False,False,False,False,False,False,True,False,False,True
105.1,69,1,438,1,0,False,False,True,False,False,True,False,False,True,False,False
80.7,71,1,351,1,0,True,False,False,False,False,True,False,False,True,False,False
24.65,71,0,449,0,0,False,True,False,False,True,False,False,False,False,False,True
53.15,35,1,475,0,0,False,True,False,False,False,True,False,False,False,False,True
54.65,3,0,636,0,0,False,False,True,False,False,False,False,True,False,True,False
109.7,72,1,502,1,0,False,True,False,False,False,True,False,False,True,False,False
90.6,72,2,212,1,1,True,False,False,False,False,True,False,False,True,False,False
73.0,68,3,665,1,1,True,False,False,False,False,True,False,False,True,False,False
54.75,42,0,300,0,0,False,True,False,False,False,False,True,False,False,False,True
20.5,21,0,179,0,0,False,True,False,False,True,False,False,False,False,False,True
92.1,8,0,455,1,0,False,False,True,False,False,False,True,False,False,False,True
75.3,10,1,394,1,0,False,False,True,False,False,False,True,False,False,False,True
106.75,71,1,574,1,0,False,False,True,False,False,True,False,False,True,False,False
91.3,46,1,397,1,0,False,True,False,False,True,False,False,False,True,False,False
80.0,3,0,138,1,0,False,True,False,False,False,False,True,False,False,True,False
91.3,12,0,493,1,0,True,False,False,False,False,False,True,False,False,False,True
47.85,26,1,2147,0,0,False,False,False,True,True,False,False,False,False,False,True
50.15,3,0,3256,0,0,False,False,False,True,False,False,False,True,False,True,False
74.45,49,3,377,1,1,False,False,True,False,True,False,False,False,True,False,False
80.6,33,2,384,1,1,False,True,False,False,True,False,False,False,True,False,False
94.4,42,0,285,1,0,False,False,True,False,False,False,True,False,True,False,False
75.25,31,0,405,1,0,False,False,True,False,True,False,False,False,True,False,False
107.15,68,1,50,1,0,False,True,False,False,False,True,False,False,True,False,False
116.25,66,3,4039,1,1,False,False,False,True,False,False,True,False,True,False,False
19.55,58,1,309,0,0,False,True,False,False,False,False,True,False,False,False,True
20.1,35,1,1109,0,0,False,False,False,True,False,False,False,True,False,False,True
20.2,1,3,3576,0,1,False,False,False,True,True,False,False,False,False,True,False
74.8,40,0,348,1,0,False,False,True,False,False,True,False,False,True,False,False
76.2,13,0,244,1,0,False,True,False,False,False,False,True,False,False,False,True
55.7,57,0,469,0,0,True,False,False,False,False,False,True,False,False,False,True
75.3,1,0,614,1,0,False,False,True,False,False,False,True,False,False,True,False
45.7,1,0,243,0,0,False,True,False,False,False,False,False,True,False,True,False
54.35,46,1,544,0,0,False,False,True,False,False,True,False,False,False,False,True
94.55,40,3,3065,1,1,False,False,False,True,False,True,False,False,True,False,False
77.5,21,3,3076,1,1,False,False,False,True,False,False,False,True,False,False,True
98.15,6,0,409,1,0,False,False,True,False,True,False,False,False,False,False,True
111.1,59,1,100,1,0,False,False,True,False,False,False,False,True,True,False,False
58.6,15,0,50,0,0,True,False,False,False,False,True,False,False,False,False,True
94.55,27,2,296,1,1,False,False,True,False,False,False,False,True,True,False,False
116.3,71,0,499,1,0,False,True,False,False,True,False,False,False,True,False,False
89.3,45,1,320,1,0,False,False,True,False,False,True,False,False,True,False,False
20.7,4,0,1702,0,0,False,False,False,True,False,False,False,True,False,False,True
19.6,1,0,2812,0,0,False,False,False,True,False,False,False,True,False,True,False
99.35,47,0,256,1,0,False,False,True,False,False,False,True,False,True,False,False
49.8,34,0,50,0,0,True,False,False,False,False,False,True,False,False,False,True
54.4,18,0,351,0,0,False,False,True,False,False,True,False,False,False,False,True
54.25,8,2,3060,0,1,False,False,False,True,True,False,False,False,False,False,True
35.5,7,1,339,0,0,True,False,False,False,False,True,False,False,False,False,True
84.5,5,1,667,1,0,False,False,True,False,False,False,True,False,False,False,True
59.3,39,2,284,0,1,True,False,False,False,False,False,True,False,False,False,True
20.65,29,0,1617,0,0,False,False,False,True,False,False,False,True,False,False,True
55.2,1,0,291,0,0,False,True,False,False,False,False,False,True,False,True,False
