customerID,transaction_amount,customer_tenure_months,payment_method,retry_count,failure_reason,gateway_response_time_ms,customer_segment,payment_recovered
7590-VHVEG,29.85,1,Electronic check,0,insufficient_funds,272,new_customer,Yes
5575-GNVDE,56.95,34,Mailed check,3,bank_decline,544,occasional,Yes
3668-QPYBK,53.85,2,Mailed check,1,card_expired,404,new_customer,No
7795-CFOCW,42.3,45,Bank transfer (automatic),1,network_error,2193,occasional,Yes
9237-HQITU,70.7,2,Electronic check,0,insufficient_funds,382,new_customer,No
9305-CDSKC,99.65,8,Electronic check,0,insufficient_funds,473,occasional,Yes
1452-KIOVK,89.1,22,Credit card (automatic),0,card_expired,466,occasional,No
6713-OKOMC,29.75,10,Mailed check,2,bank_decline,388,occasional,No
7892-POOKP,104.8,28,Electronic check,1,card_expired,563,high_value_repeat,No
6388-TABGU,56.15,62,Bank transfer (automatic),1,bank_decline,545,occasional,Yes
9763-GRSKD,49.95,13,Mailed check,0,card_expired,462,occasional,No
7469-LKBCI,18.95,16,Credit card (automatic),3,card_expired,408,occasional,No
8091-TTVAX,100.35,58,Credit card (automatic),2,insufficient_funds,498,high_value_repeat,No
0280-XJGEX,103.7,49,Bank transfer (automatic),0,bank_decline,447,high_value_repeat,Yes
5129-JLPIS,105.5,25,Electronic check,0,insufficient_funds,559,high_value_repeat,Yes
3655-SNQYZ,113.25,69,Credit card (automatic),0,bank_decline,534,high_value_repeat,Yes
8191-XWSZG,20.65,52,Mailed check,0,bank_decline,247,occasional,No
9959-WOFKT,106.7,71,Bank transfer (automatic),1,bank_decline,237,high_value_repeat,Yes
4190-MFLUW,55.2,10,Credit card (automatic),0,network_error,1939,occasional,Yes
4183-MYFRB,90.05,21,Electronic check,0,network_error,3280,occasional,Yes
8779-QRDMV,39.65,1,Electronic check,1,bank_decline,163,new_customer,No
1680-VDCWW,19.8,12,Bank transfer (automatic),0,insufficient_funds,459,occasional,No
1066-JKSGK,20.15,1,Mailed check,0,network_error,2790,new_customer,Yes
3638-WEABW,59.9,58,Credit card (automatic),0,insufficient_funds,574,occasional,Yes
6322-HRPFA,59.6,49,Credit card (automatic),1,card_expired,427,occasional,No
6865-JZNKO,55.3,30,Bank transfer (automatic),2,insufficient_funds,198,occasional,Yes
6467-CHFZW,99.35,47,Electronic check,0,insufficient_funds,256,high_value_repeat,No
8665-UTDHZ,30.2,1,Electronic check,1,card_expired,222,new_customer,No
5248-YGIJN,90.25,72,Credit card (automatic),1,insufficient_funds,319,high_value_repeat,No
8773-HHUOZ,64.7,17,Mailed check,0,network_error,2353,occasional,Yes
